# Crime Spread Network Analyzer — Sample CSV Dataset
# Format: source_id,target_id,weight,source_name,target_name,source_crime_level,target_crime_level
# Edge weights represent travel time/distance between zones
# Crime levels: 0 (safe) to 10 (extremely dangerous)

0,1,4,Police-HQ,Downtown,1,8
0,3,2,Police-HQ,Northside,1,4
1,2,3,Downtown,Harbor-Dist,8,6
1,4,6,Downtown,Industrial,8,7
2,4,2,Harbor-Dist,Industrial,6,7
2,6,5,Harbor-Dist,Chinatown,6,5
3,5,7,Northside,Suburb-East,4,3
4,5,1,Industrial,Suburb-East,7,3
4,7,4,Industrial,Airport-Zone,7,2
5,7,3,Suburb-East,Airport-Zone,3,2
6,7,2,Chinatown,Airport-Zone,5,2
